date and time,file size (in kilobytes),build duration (in seconds)
9/2/2016 8:56pm,3.98,0.119
9/2/2016 8:56pm,3.99,0.149
9/2/2016 8:56pm,3.99,0.240
9/2/2016 8:56pm,3.99,0.341
9/2/2016 8:56pm,3.97,0.382
9/2/2016 8:57pm,3.99,0.152
9/2/2016 8:57pm,3.99,0.134
9/2/2016 8:57pm,3.99,0.140
9/2/2016 8:57pm,3.99,0.129
9/2/2016 8:58pm,3.98,0.119
9/2/2016 8:58pm,4.02,0.120
9/2/2016 8:58pm,4,0.200
9/2/2016 8:59pm,4.02,0.242
9/2/2016 8:59pm,3.98,0.140
9/2/2016 8:59pm,3.98,0.120
9/2/2016 8:59pm,3.98,0.128
9/2/2016 8:59pm,3.98,0.137
9/2/2016 9:01pm,3.97,0.106
9/2/2016 9:01pm,3.98,0.137
9/2/2016 9:01pm,3.97,0.097
9/2/2016 9:05pm,3.98,0.155
9/2/2016 9:05pm,3.98,0.151
9/2/2016 9:05pm,4,0.143
9/2/2016 9:06pm,3.98,0.086
9/2/2016 9:06pm,3.97,0.162
9/2/2016 9:06pm,3.98,0.095
9/2/2016 9:07pm,3.99,0.123
9/2/2016 9:07pm,3.97,0.137
9/2/2016 9:07pm,3.98,0.136
9/2/2016 9:07pm,3.98,0.148
9/2/2016 9:07pm,3.98,0.164
9/2/2016 9:09pm,3.98,0.102
9/2/2016 9:12pm,3.98,0.126
9/2/2016 9:12pm,3.97,0.122
9/2/2016 9:12pm,3.98,0.127
9/2/2016 9:13pm,3.96,0.224
9/2/2016 9:13pm,3.98,0.139
9/2/2016 9:13pm,3.97,0.089
9/2/2016 9:13pm,3.99,0.271
9/2/2016 9:14pm,3.97,0.181
9/2/2016 9:15pm,3.97,0.318
9/2/2016 9:16pm,3.99,0.216
9/2/2016 9:18pm,4.02,0.104
9/2/2016 9:18pm,4,0.253
9/2/2016 9:19pm,4,0.220
9/2/2016 9:20pm,4,0.245
9/2/2016 9:20pm,4,0.221
9/2/2016 9:20pm,4.01,0.130
9/2/2016 9:21pm,4.01,0.315
9/2/2016 9:21pm,4.01,0.290
9/2/2016 9:21pm,4.01,0.206
9/2/2016 9:21pm,4.01,0.264
9/2/2016 9:22pm,4.01,0.229
9/2/2016 9:22pm,4,0.239
9/2/2016 9:23pm,4.06,0.254
9/2/2016 9:24pm,4.06,0.097
9/2/2016 9:24pm,4.04,0.106
9/2/2016 9:26pm,4.04,0.129
9/2/2016 9:26pm,4.04,0.233
9/2/2016 9:27pm,4.04,0.159
9/2/2016 9:28pm,4.04,0.117
9/2/2016 9:28pm,4.04,0.146
9/2/2016 9:28pm,4.04,0.164
9/2/2016 9:28pm,4.04,0.192
9/2/2016 9:30pm,4.04,0.219
9/2/2016 9:31pm,4.06,0.174
9/2/2016 9:31pm,4.07,0.140
9/2/2016 9:34pm,4.07,0.164
9/2/2016 9:34pm,4.07,0.160
9/2/2016 9:35pm,4.07,0.164
9/2/2016 9:35pm,4.07,0.150
9/2/2016 9:37pm,4.07,0.110
9/2/2016 9:40pm,4.07,0.150
9/2/2016 9:41pm,4.08,0.143
9/2/2016 9:41pm,4.08,0.138
9/2/2016 9:44pm,4.09,0.262
9/2/2016 9:44pm,4.09,0.161
9/2/2016 9:44pm,4.09,0.136
9/2/2016 9:44pm,4.09,0.139
9/2/2016 9:44pm,4.09,0.133
9/2/2016 9:46pm,4.09,0.146
9/2/2016 9:47pm,4.11,0.151
9/2/2016 9:47pm,4.11,0.164
9/2/2016 9:47pm,4.12,0.184
9/2/2016 9:47pm,4.12,0.140
9/2/2016 9:47pm,4.12,0.212
9/2/2016 9:47pm,4.11,0.341
9/2/2016 9:48pm,4.11,0.137
9/2/2016 9:48pm,4.09,0.155
9/2/2016 9:48pm,4.09,0.138
9/2/2016 9:48pm,4.09,0.154
9/2/2016 9:48pm,4.32,0.141
9/2/2016 9:48pm,4.27,0.151
9/2/2016 9:49pm,4.2,0.119
9/2/2016 9:49pm,4.16,0.126
9/2/2016 9:49pm,4.13,0.141
9/2/2016 9:49pm,4.11,0.128
9/2/2016 9:49pm,4.09,0.138
9/2/2016 9:50pm,4.09,0.128
9/2/2016 9:50pm,4.09,0.126
9/2/2016 9:51pm,4.09,0.144
9/2/2016 9:51pm,4.09,0.203
9/2/2016 9:51pm,4.09,0.161
9/2/2016 9:51pm,4.09,0.154
9/2/2016 9:51pm,4.09,0.177
9/2/2016 9:52pm,4.09,0.115
9/2/2016 9:53pm,4.09,0.172
9/2/2016 11:51pm,4.11,0.186
9/2/2016 11:51pm,4.14,0.207
9/2/2016 11:55pm,4.36,0.138
9/2/2016 11:55pm,4.36,0.114
9/2/2016 11:56pm,4.36,0.143
9/2/2016 11:56pm,4.14,0.168
9/2/2016 11:56pm,4.12,0.136
9/2/2016 11:56pm,4.06,0.124
9/2/2016 11:57pm,4.14,0.144
9/2/2016 11:59pm,4.06,0.176
9/3/2016 12:00am,4.11,0.156
9/3/2016 12:01am,4.16,0.138
9/3/2016 12:01am,4.16,0.174
9/3/2016 12:01am,4.16,0.184
9/3/2016 12:02am,4.16,0.176
9/3/2016 12:04am,4.12,0.164
9/3/2016 12:04am,4.06,0.099
9/3/2016 12:05am,4.06,0.108
9/3/2016 10:58am,4.06,1.152
9/3/2016 11:04am,4.4,0.299
9/3/2016 11:04am,4.42,0.289
9/3/2016 11:04am,4.44,0.338
9/3/2016 11:04am,4.44,0.340
9/3/2016 11:04am,4.42,0.730
9/3/2016 11:05am,4.47,0.368
9/3/2016 11:06am,4.54,0.462
9/3/2016 11:07am,4.57,0.523
9/3/2016 11:07am,4.57,0.415
9/3/2016 11:07am,4.57,0.436
9/3/2016 11:07am,4.57,0.396
9/3/2016 11:07am,4.57,0.418
9/3/2016 11:07am,4.57,0.383
9/3/2016 11:08am,4.57,0.298
9/3/2016 11:08am,4.57,0.334
9/3/2016 11:09am,4.5,0.507
9/3/2016 11:09am,4.46,0.534
9/3/2016 11:11am,4.46,0.188
9/3/2016 11:11am,4.46,0.161
9/3/2016 11:13am,4.5,0.199
9/3/2016 11:13am,4.46,0.507
9/3/2016 11:13am,4,0.137
